player,rating
346636,1755.026807158933
633571,1745.579043889563
339258,1738.598550711354
169050,1734.646619964437
176390,1733.823904534901
173551,1726.61486157228
633626,1724.192993968628
317445,1720.855923332723
167509,1720.272773347078
312950,1718.619745008043
150801,1716.127509183209
540357,1715.608760330015
298485,1714.01464575534
541232,1712.208576099095
353568,1710.15585609414
389378,1710.080674449734
293420,1706.653935331661
307840,1703.350153668705
292132,1703.215265258991
178704,1700.624551217162
152138,1699.836480806297
293428,1696.604366041037
389228,1696.503410427855
384124,1694.083585948094
182423,1693.966759225073
506499,1690.203940433029
177444,1688.687394318158
330886,1688.686984485868
392224,1688.173951942141
186450,1685.517647138989
347809,1685.445736139744
307406,1681.832783829887
188398,1680.666466638398
535518,1680.209553620346
306786,1679.020040949105
521990,1679.019766385484
432222,1678.862166472817
292526,1678.013527613716
307245,1677.511449868994
379065,1677.275340376186
750897,1676.924831750035
674105,1676.64088965957
320839,1676.492367688684
694293,1675.183991764673
308348,1674.417342266468
136752,1673.93300528803
610109,1673.235749473582
156447,1672.81800507208
725766,1672.548362724903
168008,1672.490689223341
173180,1672.403614488565
700851,1671.342670391335
168351,1671.246646379948
534667,1669.124962090725
501063,1668.871131980723
391953,1667.518588914642
453232,1664.994247127457
319832,1664.991240488859
292428,1664.486496621707
379386,1663.853868028539
355960,1663.185437309511
308980,1663.150883864688
303718,1662.640149853471
162248,1661.736677325809
516798,1661.270743103576
320111,1660.832880073527
328813,1660.697556574552
567529,1660.651046934932
699115,1660.416818781614
159238,1659.746148457475
170272,1659.459423607785
749220,1659.300244214708
412394,1658.722868012126
756803,1656.919131382328
407095,1656.034476045917
320593,1655.927146421601
302792,1655.839670177573
723593,1654.896167345126
183094,1654.893460146504
320263,1654.847773643259
175411,1654.1120360839
691581,1653.198908080504
170144,1652.737247976146
541574,1651.461985208309
307317,1650.550494034337
352528,1649.790467714451
383384,1649.086924341281
370997,1648.074801218313
176729,1647.89217381578
565578,1647.869085914907
165198,1645.850958127025
339266,1645.839408289954
693055,1645.826513607707
331033,1645.405091318924
129292,1645.26982865391
356389,1645.178803688867
523897,1645.129951105105
339275,1644.749266964054
184600,1642.267710200808
322852,1642.125004527808
703937,1641.901582830051
387400,1640.88876434339
295792,1640.612252249967
565602,1640.459762970285
516781,1640.077538531538
457323,1639.802230906815
163254,1639.69281553023
316645,1639.620637183612
339876,1638.853176076613
170255,1638.796107628879
505714,1637.45803310637
310373,1637.215509205434
372902,1637.210060098326
159684,1636.867550022859
293712,1636.651536141927
293440,1636.525688096938
403320,1636.33879770896
337713,1635.95954015847
712012,1635.90411811804
321574,1635.741862911447
191616,1635.560044780283
647839,1631.73072723277
446408,1631.452159112022
427806,1631.446786016674
166276,1631.405819414535
376073,1631.141821421653
184455,1630.63172263898
439475,1630.105708484064
334559,1629.878064956067
438212,1629.07794727799
706084,1627.847562846499
694075,1627.259675544963
131212,1627.225163972882
307508,1626.998547879718
317751,1626.659992317849
307273,1626.601446386853
695547,1626.477014952608
123823,1626.135550073582
363886,1625.96643972441
